SIMULATION RESULTS
____________________

Customer Number: 64, Arrival Time: 106.9291053, End Shopping Time: 125.58001232400001, End Wait Time: 129.540012324, End Checkout Time: 133.660012324
Customer Number: 63, Arrival Time: 103.7079648, End Shopping Time: 124.152389632, End Wait Time: 130.752389632, End Checkout Time: 135.35238963199998
Customer Number: 72, Arrival Time: 120.1408891, End Shopping Time: 132.916382076, End Wait Time: 132.916382076, End Checkout Time: 136.216382076
Customer Number: 67, Arrival Time: 110.7578794, End Shopping Time: 135.595293484, End Wait Time: 135.595293484, End Checkout Time: 140.035293484
Customer Number: 59, Arrival Time: 93.69718114, End Shopping Time: 134.01628132899998, End Wait Time: 138.61628132899997, End Checkout Time: 144.316281329
Customer Number: 44, Arrival Time: 73.72097577, End Shopping Time: 143.259553571, End Wait Time: 143.259553571, End Checkout Time: 148.209553571
Customer Number: 77, Arrival Time: 132.2497818, End Shopping Time: 146.24630104, End Wait Time: 146.24630104, End Checkout Time: 149.24630104
Customer Number: 61, Arrival Time: 100.1196859, End Shopping Time: 139.0667488, End Wait Time: 144.7667488, End Checkout Time: 150.7667488
Customer Number: 81, Arrival Time: 146.8814779, End Shopping Time: 150.847362395, End Wait Time: 150.847362395, End Checkout Time: 152.847362395
Customer Number: 70, Arrival Time: 115.846292, End Shopping Time: 152.09110793600001, End Wait Time: 152.09110793600001, End Checkout Time: 156.691107936
Customer Number: 75, Arrival Time: 123.8812912, End Shopping Time: 157.31036779800002, End Wait Time: 157.31036779800002, End Checkout Time: 162.950367798
Customer Number: 69, Arrival Time: 113.4587774, End Shopping Time: 159.390219234, End Wait Time: 159.390219234, End Checkout Time: 163.440219234
Customer Number: 79, Arrival Time: 133.9244829, End Shopping Time: 159.91874586, End Wait Time: 159.91874586, End Checkout Time: 166.91874586
Customer Number: 74, Arrival Time: 123.5908763, End Shopping Time: 173.519375095, End Wait Time: 173.519375095, End Checkout Time: 178.46937509499998
Customer Number: 86, Arrival Time: 161.5680245, End Shopping Time: 177.769667916, End Wait Time: 177.769667916, End Checkout Time: 182.469667916
Customer Number: 91, Arrival Time: 172.7624992, End Shopping Time: 180.590078127, End Wait Time: 180.590078127, End Checkout Time: 182.990078127
Customer Number: 95, Arrival Time: 179.1474303, End Shopping Time: 181.68441651999998, End Wait Time: 181.68441651999998, End Checkout Time: 184.28441651999998
Customer Number: 85, Arrival Time: 156.8034756, End Shopping Time: 181.07610752200003, End Wait Time: 181.07610752200003, End Checkout Time: 184.67610752200002
Customer Number: 93, Arrival Time: 177.5962555, End Shopping Time: 182.69459009800002, End Wait Time: 185.09459009800003, End Checkout Time: 187.49459009800003
Customer Number: 96, Arrival Time: 181.7744334, End Shopping Time: 186.922924596, End Wait Time: 186.922924596, End Checkout Time: 189.602924596
Customer Number: 98, Arrival Time: 183.504767, End Shopping Time: 186.447350328, End Wait Time: 186.447350328, End Checkout Time: 189.647350328
Customer Number: 71, Arrival Time: 118.9432861, End Shopping Time: 182.450338456, End Wait Time: 186.050338456, End Checkout Time: 190.750338456
Customer Number: 83, Arrival Time: 153.2970749, End Shopping Time: 192.397603764, End Wait Time: 192.397603764, End Checkout Time: 197.157603764
Customer Number: 78, Arrival Time: 132.8223124, End Shopping Time: 190.05757610499998, End Wait Time: 190.05757610499998, End Checkout Time: 197.55757610499998
Customer Number: 80, Arrival Time: 138.3303652, End Shopping Time: 193.060591948, End Wait Time: 193.060591948, End Checkout Time: 197.860591948
Customer Number: 90, Arrival Time: 172.2252601, End Shopping Time: 193.325044456, End Wait Time: 198.085044456, End Checkout Time: 201.725044456
Customer Number: 84, Arrival Time: 155.9598466, End Shopping Time: 194.540175722, End Wait Time: 199.340175722, End Checkout Time: 203.74017572199998
Customer Number: 101, Arrival Time: 192.2870559, End Shopping Time: 204.51406502400002, End Wait Time: 204.51406502400002, End Checkout Time: 207.91406502400002
Customer Number: 94, Arrival Time: 177.9703007, End Shopping Time: 199.390711418, End Wait Time: 203.790711418, End Checkout Time: 208.390711418
Customer Number: 88, Arrival Time: 168.2052506, End Shopping Time: 204.697235195, End Wait Time: 204.697235195, End Checkout Time: 209.537235195
Customer Number: 87, Arrival Time: 168.1034584, End Shopping Time: 195.760905808, End Wait Time: 203.260905808, End Checkout Time: 210.36090580799998
Customer Number: 108, Arrival Time: 205.279986, End Shopping Time: 206.357180852, End Wait Time: 209.757180852, End Checkout Time: 210.957180852
Customer Number: 104, Arrival Time: 199.3524944, End Shopping Time: 209.38260299, End Wait Time: 209.38260299, End Checkout Time: 212.63260299
Customer Number: 99, Arrival Time: 186.65664, End Shopping Time: 205.64521776200002, End Wait Time: 210.48521776200002, End Checkout Time: 213.805217762
Customer Number: 109, Arrival Time: 211.0167752, End Shopping Time: 213.47348247600002, End Wait Time: 213.47348247600002, End Checkout Time: 214.87348247600002
Customer Number: 82, Arrival Time: 151.6118958, End Shopping Time: 212.73007870200001, End Wait Time: 212.73007870200001, End Checkout Time: 217.330078702
Customer Number: 89, Arrival Time: 171.9018662, End Shopping Time: 205.394724508, End Wait Time: 212.494724508, End Checkout Time: 218.294724508
Customer Number: 102, Arrival Time: 195.8762172, End Shopping Time: 213.57852109200002, End Wait Time: 218.178521092, End Checkout Time: 221.32852109200002
Customer Number: 107, Arrival Time: 204.02734, End Shopping Time: 218.59599058, End Wait Time: 218.59599058, End Checkout Time: 221.99599058
Customer Number: 97, Arrival Time: 182.138948, End Shopping Time: 219.524958948, End Wait Time: 219.524958948, End Checkout Time: 225.244958948
Customer Number: 111, Arrival Time: 218.2334868, End Shopping Time: 223.982930868, End Wait Time: 223.982930868, End Checkout Time: 225.78293086800002
Customer Number: 92, Arrival Time: 173.7616776, End Shopping Time: 219.36934470800003, End Wait Time: 219.36934470800003, End Checkout Time: 226.16934470800004
Customer Number: 105, Arrival Time: 200.6735863, End Shopping Time: 232.55766017500002, End Wait Time: 232.55766017500002, End Checkout Time: 236.40766017500002
Customer Number: 110, Arrival Time: 214.5380334, End Shopping Time: 233.438918, End Wait Time: 233.438918, End Checkout Time: 238.938918
Customer Number: 100, Arrival Time: 191.682298, End Shopping Time: 235.129034448, End Wait Time: 235.129034448, End Checkout Time: 239.889034448
Customer Number: 106, Arrival Time: 202.4225951, End Shopping Time: 238.952966425, End Wait Time: 238.952966425, End Checkout Time: 244.452966425
Customer Number: 115, Arrival Time: 227.4060098, End Shopping Time: 241.69058110999998, End Wait Time: 241.69058110999998, End Checkout Time: 244.94058110999998
Customer Number: 120, Arrival Time: 241.1114633, End Shopping Time: 244.623768284, End Wait Time: 244.623768284, End Checkout Time: 246.82376828399998
Customer Number: 119, Arrival Time: 236.3290925, End Shopping Time: 245.126224077, End Wait Time: 245.126224077, End Checkout Time: 249.426224077
Customer Number: 125, Arrival Time: 248.595917, End Shopping Time: 249.50430657599998, End Wait Time: 249.50430657599998, End Checkout Time: 250.70430657599996
Customer Number: 123, Arrival Time: 247.5247459, End Shopping Time: 253.635570985, End Wait Time: 253.635570985, End Checkout Time: 255.635570985
Customer Number: 103, Arrival Time: 199.3443257, End Shopping Time: 249.70948724000002, End Wait Time: 249.70948724000002, End Checkout Time: 256.30948724
Customer Number: 112, Arrival Time: 221.23848, End Shopping Time: 251.48445074400001, End Wait Time: 251.48445074400001, End Checkout Time: 256.564450744
Customer Number: 131, Arrival Time: 252.2736041, End Shopping Time: 255.28144542, End Wait Time: 255.28144542, End Checkout Time: 257.98144542
Customer Number: 121, Arrival Time: 243.8337885, End Shopping Time: 257.37627202, End Wait Time: 257.37627202, End Checkout Time: 260.85627202
Customer Number: 133, Arrival Time: 257.0456982, End Shopping Time: 260.244698292, End Wait Time: 260.244698292, End Checkout Time: 263.044698292
Customer Number: 126, Arrival Time: 249.0894551, End Shopping Time: 260.09597474000003, End Wait Time: 260.09597474000003, End Checkout Time: 263.49597474
Customer Number: 127, Arrival Time: 249.6372024, End Shopping Time: 259.279719394, End Wait Time: 259.279719394, End Checkout Time: 263.97971939399997
Customer Number: 114, Arrival Time: 226.9178168, End Shopping Time: 265.509801284, End Wait Time: 265.509801284, End Checkout Time: 269.809801284
Customer Number: 116, Arrival Time: 229.2269576, End Shopping Time: 264.96593820199996, End Wait Time: 264.96593820199996, End Checkout Time: 271.86593820199994
Customer Number: 134, Arrival Time: 258.551343, End Shopping Time: 269.590529158, End Wait Time: 269.590529158, End Checkout Time: 272.79052915799997
Customer Number: 140, Arrival Time: 264.9876858, End Shopping Time: 272.81952114, End Wait Time: 272.81952114, End Checkout Time: 275.81952114
Customer Number: 137, Arrival Time: 259.8872403, End Shopping Time: 272.543994674, End Wait Time: 272.543994674, End Checkout Time: 276.50399467399996
Customer Number: 122, Arrival Time: 246.3171819, End Shopping Time: 277.259565456, End Wait Time: 277.259565456, End Checkout Time: 281.159565456
Customer Number: 135, Arrival Time: 258.761939, End Shopping Time: 278.20102892399996, End Wait Time: 278.20102892399996, End Checkout Time: 281.921028924
